Reject_links,Accept_links
https://yocket.in/applications-admits-rejects/135-northeastern-university/3,https://yocket.in/applications-admits-rejects/135-northeastern-university/2
https://yocket.in/applications-admits-rejects/16848-illinois-institute-of-technology/3,https://yocket.in/applications-admits-rejects/16848-illinois-institute-of-technology/2
https://yocket.in/applications-admits-rejects/499-michigan-technological-university/3,https://yocket.in/applications-admits-rejects/499-michigan-technological-university/2
https://yocket.in/applications-admits-rejects/174-rochester-institute-of-technology/3,https://yocket.in/applications-admits-rejects/174-rochester-institute-of-technology/2
https://yocket.in/applications-admits-rejects/168-university-of-southern-california/3,https://yocket.in/applications-admits-rejects/168-university-of-southern-california/2
https://yocket.in/applications-admits-rejects/360-university-of-north-carolina-at-charlotte/3,https://yocket.in/applications-admits-rejects/360-university-of-north-carolina-at-charlotte/2
https://yocket.in/applications-admits-rejects/344-university-of-texas-arlington/3,https://yocket.in/applications-admits-rejects/344-university-of-texas-arlington/2
https://yocket.in/applications-admits-rejects/195-university-of-texas-dallas/3,https://yocket.in/applications-admits-rejects/195-university-of-texas-dallas/2
https://yocket.in/applications-admits-rejects/36-syracuse-university/3?page=6,https://yocket.in/applications-admits-rejects/36-syracuse-university/2
https://yocket.in/applications-admits-rejects/31939-clemson-university/3?page=2,https://yocket.in/applications-admits-rejects/31939-clemson-university/2
https://yocket.in/applications-admits-rejects/588-new-york-university/3,https://yocket.in/applications-admits-rejects/588-new-york-university/2
https://yocket.in/applications-admits-rejects/365-indiana-university-bloomington/3,https://yocket.in/applications-admits-rejects/365-indiana-university-bloomington/2
https://yocket.in/applications-admits-rejects/613-rutgers-university-new-brunswick/3,https://yocket.in/applications-admits-rejects/613-rutgers-university-new-brunswick/2
https://yocket.in/applications-admits-rejects/2212-san-jose-state-university/3,https://yocket.in/applications-admits-rejects/2212-san-jose-state-university/2
https://yocket.in/applications-admits-rejects/57961-university-of-florida/3,https://yocket.in/applications-admits-rejects/57961-university-of-florida/2
https://yocket.in/applications-admits-rejects/55691-carnegie-mellon-university/3   ,https://yocket.in/applications-admits-rejects/55691-carnegie-mellon-university/2   
https://yocket.in/applications-admits-rejects/55694-georgia-institute-of-technology/3    ,https://yocket.in/applications-admits-rejects/55694-georgia-institute-of-technology/2    
https://yocket.in/applications-admits-rejects/31922-university-of-maryland-college-park/3 ,https://yocket.in/applications-admits-rejects/31922-university-of-maryland-college-park/2 
https://yocket.in/applications-admits-rejects/364-university-of-california-irvine/3  ,https://yocket.in/applications-admits-rejects/264-university-of-california-irvine/2  
https://yocket.in/applications-admits-rejects/57452-university-of-colorado-boulder/3    ,https://yocket.in/applications-admits-rejects/57452-university-of-colorado-boulder/2    
https://yocket.in/applications-admits-rejects/44-texas-a-and-m-university-college-station/3  ,https://yocket.in/applications-admits-rejects/44-texas-a-and-m-university-college-station/2  
https://yocket.in/applications-admits-rejects/129-state-university-of-new-york-at-stony-brook/3 ,https://yocket.in/applications-admits-rejects/129-state-university-of-new-york-at-stony-brook/2 
https://yocket.in/applications-admits-rejects/31946-george-mason-university/3    ,https://yocket.in/applications-admits-rejects/31946-george-mason-university/2    
https://yocket.in/applications-admits-rejects/31934-north-carolina-state-university-raleigh/3  ,https://yocket.in/applications-admits-rejects/31934-north-carolina-state-university-raleigh/2  
https://yocket.in/applications-admits-rejects/511-university-of-iowa/3    ,https://yocket.in/applications-admits-rejects/511-university-of-iowa/2    
https://yocket.in/applications-admits-rejects/448-university-of-connecticut/3    ,https://yocket.in/applications-admits-rejects/448-university-of-connecticut/2    
https://yocket.in/applications-admits-rejects/811-worcester-polytechnic-institute/3   ,https://yocket.in/applications-admits-rejects/811-worcester-polytechnic-institute/2   
https://yocket.in/applications-admits-rejects/58477-university-of-southern-california/3,https://yocket.in/applications-admits-rejects/58477-university-of-southern-california/2
https://yocket.in/applications-admits-rejects/555-kansas-state-university/3   ,https://yocket.in/applications-admits-rejects/555-kansas-state-university/2   
