gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,university_name,status,ranking
316,164,152,106.0,2.9,9,3,northeastern_university,accept,15
314,163,151,114,3.53,7,3,northeastern_university,accept,15
307,160,147,88.0,3.0,36,0,northeastern_university,accept,15
330,169,161,113.0,2.4,48,3,northeastern_university,accept,15
316,163,153,99.0,2.71,30,0,northeastern_university,accept,15
311,163,148,107.0,3.22,0,0,northeastern_university,accept,15
306,155,151,113.0,3.12,12,0,northeastern_university,accept,15
325,168,157,106.0,2.65,8,3,northeastern_university,accept,15
324,167,157,104.0,3.44,0,0,northeastern_university,accept,15
317,159,158,114.0,3.52,4,1,northeastern_university,accept,15
324,167,157,108.0,3.12,6,2,northeastern_university,accept,15
305,161,144,0,3.28,13,0,northeastern_university,accept,15
324,169,155,112.0,2.88,8,0,northeastern_university,accept,15
318,170,148,102.0,2.8,4,0,northeastern_university,accept,15
312,164,148,65.0,3.68,5,0,northeastern_university,accept,15
319,165,154,99.0,2.87,30,2,northeastern_university,accept,15
306,157,149,100.0,3.56,20,0,northeastern_university,accept,15
304,157,147,95.0,2.82,0,0,northeastern_university,accept,15
306,157,149,111.0,3.55,0,0,northeastern_university,accept,15
332,170,162,115.0,2.75,9,0,northeastern_university,accept,15
317,162,155,101.0,3.46,48,0,northeastern_university,accept,15
309,163,146,102.0,3.1,33,0,northeastern_university,accept,15
320,168,152,99.0,3.3,25,3,northeastern_university,accept,15
305,153,152,107.0,2.75,24,0,northeastern_university,accept,15
323,164,159,110.0,3.12,12,0,northeastern_university,accept,15
318,166,152,104.0,3.47,9,3,northeastern_university,accept,15
327,167,160,115.0,3.19,2,0,northeastern_university,accept,15
320,168,152,107.0,3.52,41,3,northeastern_university,accept,15
324,163,161,110.0,3.64,28,0,northeastern_university,accept,15
311,155,156,101.0,3.13,0,0,northeastern_university,accept,15
318,165,153,112.0,3.66,36,3,northeastern_university,accept,15
315,160,155,106.0,3.76,4,0,northeastern_university,accept,15
321,164,157,104.0,2.88,15,0,northeastern_university,accept,15
317,163,154,112.0,3.4,11,3,northeastern_university,accept,15
332,170,162,114.0,3.28,32,2,northeastern_university,accept,15
316,167,149,103.0,3.45,19,0,northeastern_university,accept,15
313,161,152,106.0,3.33,0,0,northeastern_university,accept,15
315,158,157,100.0,3.0,0,0,northeastern_university,accept,15
