,gre_score,gre_score_quant,gre_score_verbal,test_score_toefl,undergraduation_score,work_ex,papers_published,status
0,316,164,152,99.0,3.12,12,0,reject
1,316,164,152,99.0,3.12,12,0,reject
2,316,160,156,114,2.97,0,0,reject
3,317,168,149,106.0,2.83,15,0,reject
4,317,161,156,106.0,2.01,0,0,reject
5,299,151,148,101,3.0,35,0,reject
6,325,168,157,105.0,2.95,28,0,reject
7,314,164,150,103.0,3.2,3,1,reject
8,326,165,161,109.0,2.59,1,3,reject
9,328,169,159,106.0,2.84,30,0,reject
10,322,163,159,106.0,2.71,2,2,reject
11,300,160,140,99.0,2.71,24,3,reject
12,312,162,150,102.0,2.52,30,3,reject
13,316,159,157,104.0,1.89,43,0,reject
14,322,162,160,114.0,2.76,16,2,reject
15,316,164,152,99.0,3.12,12,0,reject
16,316,164,152,99.0,3.12,12,0,reject
17,316,160,156,114,2.97,0,0,reject
18,317,168,149,106.0,2.83,15,0,reject
19,317,161,156,106.0,2.01,0,0,reject
20,299,151,148,101,3.0,35,0,reject
21,325,168,157,105.0,2.95,28,0,reject
22,314,164,150,103.0,3.2,3,1,reject
23,326,165,161,109.0,2.59,1,3,reject
24,328,169,159,106.0,2.84,30,0,reject
25,322,163,159,106.0,2.71,2,2,reject
26,300,160,140,99.0,2.71,24,3,reject
27,312,162,150,102.0,2.52,30,3,reject
28,316,159,157,104.0,1.89,43,0,reject
29,322,162,160,114.0,2.76,16,2,reject
30,307,166,141,80.0,3.4,60,2,reject
31,330,168,162,113.0,2.98,34,2,reject
32,313,162,151,92.0,3.31,1,3,reject
33,313,162,151,92.0,3.31,1,3,reject
34,312,157,155,94.0,3.34,12,2,reject
35,321,164,157,110.0,1.21,4,3,reject
36,287,149,138,83.0,2.73,25,0,reject
37,315,158,157,113.0,2.38,17,2,reject
38,310,161,149,102.0,2.79,31,3,reject
39,312,164,148,101,3.0,30,0,reject
40,321,169,152,105.0,2.47,6,3,reject
41,327,169,158,106.0,2.84,41,0,reject
42,311,163,148,101,3.4,10,0,reject
43,304,153,151,104.0,2.85,24,0,reject
44,309,163,146,96.0,3.48,12,0,reject
45,300,157,143,99.0,3.3,30,0,reject
46,324,167,157,101.0,2.56,82,3,reject
47,312,157,155,110.0,2.86,25,3,reject
48,309,168,141,103.0,3.48,2,0,reject
49,310,158,152,97.0,2.26,57,0,reject
50,311,162,149,99.0,2.95,0,3,reject
51,315,165,150,97.0,3.53,24,0,reject
52,303,156,147,100.0,2.76,53,2,reject
53,307,157,150,93.0,3.05,25,0,reject
54,313,166,147,106.0,3.28,1,3,reject
55,322,170,152,101.0,2.81,25,3,reject
56,309,168,141,98.0,3.16,9,0,reject
57,308,159,149,95.0,3.36,14,0,reject
58,304,160,144,95.0,3.52,0,0,reject
59,311,166,145,97.0,3.35,0,0,reject
60,310,161,149,95.0,3.16,0,0,reject
61,311,159,152,93.0,2.94,15,0,reject
62,304,161,143,94.0,3.55,46,0,reject
63,310,158,152,103.0,2.08,60,0,reject
64,302,159,143,92.0,3.28,0,0,reject
65,305,145,160,101.0,1.95,50,2,reject
66,307,163,144,65.0,2.4,40,0,reject
67,317,170,147,96.0,3.16,31,0,reject
68,302,160,142,86.0,2.56,60,0,reject
69,308,161,147,96.0,3.52,24,0,reject
70,306,160,146,94.0,3.34,18,3,reject
71,305,163,142,91.0,2.6,45,0,reject
72,312,165,147,91.0,2.6,60,0,reject
73,305,155,150,94.0,2.59,19,0,reject
74,310,157,153,96.0,2.92,13,3,reject
75,313,164,149,90.0,3.28,15,1,reject
76,313,162,151,95.0,3.2,0,0,reject
77,314,163,151,95.0,2.51,60,0,reject
78,312,161,151,96.0,2.75,18,0,reject
79,308,164,144,90.0,3.37,0,0,reject
80,307,158,149,114,2.63,34,0,reject
81,319,170,149,86.0,3.68,13,0,reject
82,319,170,149,86.0,3.68,13,0,reject
83,314,166,148,89.0,2.67,13,2,reject
84,308,165,143,96.0,2.2,92,0,reject
85,310,160,150,93.0,3.6,1,0,reject
86,317,161,156,75.0,3.12,0,0,reject
87,312,167,145,100.0,2.8,21,0,reject
88,320,161,159,75.0,2.44,1,0,reject
89,305,161,144,98.0,2.78,2,0,reject
90,316,164,152,107.0,3.44,3,0,reject
91,319,169,150,105.0,3.3,0,0,reject
92,292,155,137,65.0,2.68,5,1,reject
93,315,166,149,99.0,3.08,12,0,reject
94,311,165,146,95.0,3.52,0,0,reject
95,312,160,152,109.0,3.4,7,0,reject
96,293,157,136,87.0,2.0,15,0,reject
97,318,164,154,108.0,2.4,46,0,reject
98,318,164,154,108.0,2.4,46,0,reject
99,319,170,149,108.0,2.64,42,0,reject
100,306,159,147,97.0,3.32,24,3,reject
101,303,160,143,89.0,3.0,0,0,reject
102,309,158,151,0,2.48,60,0,reject
